Region,Crop Type,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (ppm),Sowing Date,Harvest Date,Yield (tons/ha),Soil Type
Amravati,Moong,1076.6,32.8,6.0,39.6,2023-06-18,2023-10-12,3.25,Sandy
Amravati,Maize,893.0,30.0,7.1,36.3,2023-12-13,2024-05-04,3.9,Loamy
Latur,Maize,846.2,21.2,7.1,50.2,2023-05-04,2023-09-26,2.7,Sandy
Satara,Wheat,908.4,29.0,5.5,33.0,2023-05-02,2023-08-27,4.99,Clay
Ratnagiri,Rice,1018.9,20.2,7.1,58.7,2023-06-11,2023-10-28,5.06,Laterite
Amravati,Rice,1082.6,28.8,6.9,56.7,2023-03-28,2023-07-30,5.41,Clay
Aurangabad,Bajra,724.9,28.7,7.2,60.2,2023-07-14,2023-11-29,5.0,Sandy
Pune,Jowar,758.9,31.9,5.8,69.5,2023-06-05,2023-11-07,2.09,Sandy
Kolhapur,Jowar,892.3,23.5,6.7,67.4,2023-01-22,2023-05-19,2.03,Loamy
Satara,Rice,851.3,28.8,5.9,66.8,2023-12-05,2024-04-20,3.65,Clay
Kolhapur,Jowar,821.3,22.3,7.5,69.4,2023-09-07,2023-12-10,2.87,Sandy
Satara,Rice,682.3,24.5,6.7,44.4,2023-04-21,2023-09-22,5.11,Laterite
Aurangabad,Moong,1056.9,30.6,7.1,63.7,2023-05-04,2023-09-21,2.82,Loamy
Pune,Maize,616.3,27.4,6.6,41.6,2023-11-18,2024-04-07,3.0,Loamy
Ratnagiri,Toor,1053.8,26.9,6.9,53.7,2023-08-24,2023-12-10,4.6,Clay
Kolhapur,Bajra,938.8,31.0,7.1,49.8,2023-12-20,2024-05-05,5.36,Loamy
Latur,Toor,788.6,32.0,5.8,33.7,2023-01-19,2023-04-20,4.18,Loamy
Kolhapur,Maize,680.8,21.5,6.0,56.9,2023-11-12,2024-03-06,4.04,Sandy
Amravati,Jowar,1045.2,26.2,7.0,65.1,2023-06-11,2023-10-04,5.17,Sandy
Latur,Wheat,953.2,21.6,6.8,55.0,2023-03-23,2023-08-01,4.65,Loamy
Solapur,Maize,839.3,25.6,5.7,50.0,2023-02-06,2023-06-13,2.74,Loamy
Nashik,Rice,667.4,24.6,6.5,44.6,2023-06-02,2023-09-01,2.95,Laterite
Satara,Rice,618.9,22.4,6.0,62.8,2023-07-06,2023-10-12,4.07,Clay
Aurangabad,Moong,803.2,26.0,6.4,51.4,2023-04-21,2023-09-16,2.0,Loamy
Nagpur,Wheat,515.0,26.1,6.0,69.2,2023-11-15,2024-04-13,2.97,Clay
Nagpur,Bajra,869.6,23.4,5.8,33.7,2023-06-13,2023-11-14,5.07,Loamy
Aurangabad,Rice,1024.7,24.1,7.2,53.1,2023-05-28,2023-10-30,4.09,Laterite
Satara,Toor,1018.4,23.0,7.1,43.8,2023-07-10,2023-10-22,5.16,Loamy
Ratnagiri,Wheat,730.8,26.5,6.0,66.7,2023-07-09,2023-10-15,3.25,Clay
Pune,Moong,558.9,26.5,6.4,69.7,2023-12-06,2024-03-30,3.94,Sandy
Amravati,Moong,624.1,22.1,7.4,69.3,2023-07-21,2023-12-08,4.85,Sandy
Satara,Maize,771.2,25.3,7.0,56.0,2023-05-21,2023-09-04,4.43,Loamy
Kolhapur,Bajra,548.5,33.4,6.2,59.7,2023-11-08,2024-03-06,3.97,Sandy
Nagpur,Wheat,427.2,28.7,6.5,31.1,2023-09-02,2024-01-22,3.67,Clay
Aurangabad,Toor,1019.3,29.2,6.0,34.6,2023-06-12,2023-09-14,3.93,Loamy
Nagpur,Bajra,788.6,30.4,7.4,34.1,2023-04-06,2023-08-28,3.84,Loamy
Aurangabad,Rice,1004.0,32.8,6.6,37.6,2023-07-28,2023-12-19,3.42,Clay
Satara,Wheat,1054.7,30.9,6.4,33.8,2023-08-25,2024-01-10,2.96,Loamy
Ratnagiri,Moong,454.4,26.6,6.7,64.0,2023-01-08,2023-04-15,4.2,Loamy
Kolhapur,Wheat,823.3,31.4,7.0,49.8,2023-02-24,2023-06-28,2.65,Clay
Amravati,Moong,740.6,30.0,6.5,55.0,2023-08-19,2024-01-25,2.74,Sandy
Nagpur,Moong,740.6,30.3,6.2,33.8,2023-04-06,2023-08-27,4.39,Loamy
Satara,Bajra,771.5,24.5,5.6,57.6,2023-01-16,2023-04-27,4.28,Loamy
Solapur,Bajra,584.2,21.1,7.5,69.3,2023-07-08,2023-11-21,3.11,Sandy
Solapur,Jowar,998.7,25.9,5.6,37.7,2023-01-02,2023-04-14,2.39,Sandy
Aurangabad,Moong,884.5,22.5,7.3,67.5,2023-06-18,2023-10-12,3.08,Loamy
Amravati,Jowar,462.8,22.5,5.8,54.3,2023-04-11,2023-09-05,4.04,Sandy
Amravati,Maize,810.8,31.2,5.7,42.8,2023-11-10,2024-02-15,5.21,Loamy
Nagpur,Bajra,692.7,20.5,5.9,43.7,2023-04-05,2023-08-04,5.04,Sandy
Nashik,Bajra,846.2,28.3,6.4,60.6,2023-02-04,2023-07-13,3.49,Loamy
Ratnagiri,Jowar,699.8,22.1,6.6,36.6,2023-06-04,2023-10-28,2.36,Loamy
Kolhapur,Moong,494.2,30.8,7.2,52.3,2023-03-05,2023-07-16,5.38,Loamy
Nagpur,Rice,1280.6,20.0,5.8,50.9,2023-07-10,2023-10-21,2.67,Clay
Aurangabad,Rice,1044.3,21.8,7.3,51.1,2023-06-08,2023-09-26,3.48,Clay
Aurangabad,Moong,800.4,28.9,7.5,44.3,2023-01-01,2023-05-08,5.2,Loamy
Aurangabad,Jowar,732.3,26.5,6.7,49.3,2023-09-23,2024-02-20,4.76,Sandy
Pune,Wheat,1031.5,30.3,6.7,40.5,2023-07-12,2023-10-22,3.91,Loamy
Aurangabad,Wheat,692.8,28.4,7.2,31.3,2023-07-07,2023-11-22,2.27,Loamy
Pune,Toor,606.3,24.6,7.0,44.9,2023-03-01,2023-06-06,2.82,Loamy
Kolhapur,Jowar,534.9,21.3,6.6,68.2,2023-11-14,2024-03-24,5.35,Loamy
Kolhapur,Toor,425.4,34.3,7.3,49.2,2023-10-14,2024-03-16,3.38,Loamy
Kolhapur,Maize,922.9,20.8,6.1,67.4,2023-06-22,2023-10-11,2.38,Sandy
Amravati,Wheat,578.9,21.8,6.4,58.0,2023-08-15,2024-01-07,5.26,Loamy
Nagpur,Wheat,860.0,22.4,7.2,68.2,2023-10-26,2024-02-18,2.98,Loamy
Nagpur,Bajra,602.0,24.9,6.0,49.9,2023-05-02,2023-08-10,3.95,Sandy
Ratnagiri,Maize,456.6,24.3,7.0,67.9,2023-10-09,2024-03-06,3.84,Loamy
Nashik,Rice,1252.8,26.8,6.7,56.9,2023-06-14,2023-09-25,4.25,Clay
Aurangabad,Rice,660.1,23.2,7.4,47.1,2023-09-28,2024-02-04,3.0,Laterite
Latur,Maize,1073.0,22.9,6.9,46.1,2023-06-07,2023-10-28,2.93,Loamy
Nagpur,Toor,507.4,32.1,6.0,45.7,2023-01-25,2023-04-30,4.27,Clay
Amravati,Wheat,711.2,26.6,5.8,63.0,2023-12-25,2024-04-09,3.36,Loamy
Nagpur,Toor,649.6,26.3,7.1,45.0,2023-04-27,2023-07-29,3.7,Clay
Solapur,Rice,1218.7,32.7,7.2,67.8,2023-08-04,2023-12-26,4.94,Clay
Kolhapur,Rice,869.0,34.2,7.2,35.6,2023-02-03,2023-06-04,3.12,Laterite
Amravati,Wheat,723.8,34.4,6.3,66.5,2023-10-09,2024-01-18,2.39,Clay
Ratnagiri,Maize,630.6,29.0,7.1,69.2,2023-08-23,2023-11-26,4.67,Sandy
Amravati,Moong,601.6,20.1,7.4,38.8,2023-03-21,2023-07-27,3.8,Sandy
Pune,Wheat,717.9,26.7,7.4,57.9,2023-07-10,2023-10-15,3.88,Loamy
Satara,Jowar,708.5,30.3,6.3,30.0,2023-07-14,2023-11-24,3.56,Loamy
Ratnagiri,Wheat,950.3,26.6,7.1,58.9,2023-12-01,2024-03-02,5.39,Clay
Nashik,Maize,614.4,25.9,6.6,42.5,2023-12-17,2024-04-18,2.53,Sandy
Aurangabad,Rice,1191.7,34.6,6.3,45.4,2023-12-24,2024-03-25,3.33,Clay
Aurangabad,Jowar,628.2,21.8,7.1,52.4,2023-05-13,2023-08-31,4.15,Loamy
Aurangabad,Bajra,503.4,30.2,7.2,34.0,2023-09-22,2024-01-06,2.92,Sandy
Satara,Toor,1063.2,32.4,6.0,69.4,2023-06-07,2023-10-06,3.15,Clay
Amravati,Bajra,406.4,25.3,5.6,40.2,2023-12-13,2024-05-12,5.1,Sandy
Pune,Jowar,486.8,32.7,6.8,57.7,2023-09-09,2024-02-15,5.37,Sandy
Nashik,Toor,965.8,22.9,6.9,62.7,2023-01-16,2023-06-09,2.31,Clay
Kolhapur,Jowar,852.9,21.0,6.0,53.5,2023-10-07,2024-02-10,2.55,Sandy
Nagpur,Rice,754.6,22.2,6.1,63.6,2023-03-18,2023-08-20,2.92,Laterite
Amravati,Moong,494.3,34.3,6.4,58.0,2023-04-27,2023-08-04,5.34,Loamy
Aurangabad,Rice,1086.3,21.1,5.9,63.6,2023-06-05,2023-11-09,2.57,Clay
Kolhapur,Jowar,719.1,21.1,7.1,45.2,2023-06-21,2023-11-22,3.08,Sandy
Latur,Jowar,1056.0,27.2,6.2,67.6,2023-08-28,2023-12-28,4.74,Loamy
Kolhapur,Moong,1039.3,29.2,6.2,65.2,2023-07-06,2023-12-13,5.41,Loamy
Nashik,Rice,698.8,31.1,6.3,35.5,2023-04-02,2023-08-28,2.68,Clay
Aurangabad,Bajra,486.0,23.2,6.2,54.6,2023-10-14,2024-02-01,3.12,Sandy
Kolhapur,Bajra,828.1,20.8,6.6,34.4,2023-09-06,2024-01-04,3.15,Sandy
Nashik,Bajra,510.7,29.6,6.0,61.7,2023-09-22,2024-02-07,2.75,Sandy
Nashik,Rice,1195.7,28.7,5.9,55.7,2023-04-17,2023-08-13,5.34,Clay
Solapur,Wheat,1056.9,20.8,5.6,58.1,2023-09-05,2024-01-06,2.78,Clay
Kolhapur,Moong,783.7,32.6,7.3,45.1,2023-02-20,2023-06-24,5.32,Loamy
Nagpur,Toor,1003.7,20.1,7.2,69.1,2023-08-16,2024-01-19,2.37,Loamy
Aurangabad,Maize,485.5,34.2,6.7,67.6,2023-05-13,2023-10-03,2.57,Sandy
Kolhapur,Maize,1023.5,28.9,6.5,35.5,2023-01-03,2023-05-20,4.21,Sandy
Nashik,Bajra,646.5,32.2,6.7,46.9,2023-07-25,2023-11-26,4.5,Sandy
Amravati,Wheat,538.2,29.0,7.3,66.1,2023-09-03,2024-02-03,4.92,Loamy
Kolhapur,Moong,797.0,33.6,6.5,63.8,2023-08-03,2023-11-01,5.47,Loamy
Solapur,Jowar,549.9,31.8,7.4,55.8,2023-10-15,2024-03-03,4.38,Loamy
Nashik,Moong,591.8,29.7,6.0,37.3,2023-07-03,2023-12-02,2.99,Sandy
Kolhapur,Bajra,560.5,22.6,6.1,52.3,2023-09-15,2024-01-27,5.15,Sandy
Aurangabad,Bajra,1003.0,30.9,5.6,33.7,2023-12-02,2024-04-11,2.41,Loamy
Latur,Jowar,900.3,29.9,7.0,30.3,2023-07-06,2023-11-03,4.36,Loamy
Nashik,Wheat,837.0,34.5,6.7,45.2,2023-01-20,2023-06-25,2.08,Loamy
Aurangabad,Rice,972.9,31.8,7.4,32.7,2023-03-13,2023-06-24,3.42,Clay
Ratnagiri,Maize,1003.2,22.4,6.9,61.6,2023-01-27,2023-07-03,3.67,Sandy
Nashik,Toor,1060.3,21.4,5.5,43.5,2023-07-21,2023-11-26,2.81,Clay
Pune,Maize,841.6,27.4,6.4,67.4,2023-02-15,2023-07-22,4.29,Loamy
Amravati,Bajra,1019.0,24.3,6.8,58.6,2023-03-06,2023-07-01,5.27,Loamy
Aurangabad,Jowar,708.1,33.2,5.9,56.9,2023-08-09,2023-11-07,2.97,Sandy
Solapur,Moong,410.4,34.0,5.8,62.0,2023-08-16,2024-01-21,5.48,Loamy
Ratnagiri,Rice,880.6,20.4,5.9,41.5,2023-01-06,2023-04-07,2.33,Clay
Pune,Bajra,697.3,32.2,5.9,51.9,2023-08-16,2023-12-17,3.48,Loamy
Latur,Toor,1022.7,31.4,5.5,47.0,2023-09-12,2024-01-14,3.77,Clay
Amravati,Moong,557.7,20.4,6.4,39.1,2023-05-17,2023-09-15,4.46,Loamy
Satara,Moong,580.8,25.2,7.3,52.0,2023-06-23,2023-11-04,2.68,Loamy
Satara,Rice,1182.2,20.2,7.1,52.6,2023-01-16,2023-05-03,2.73,Laterite
Ratnagiri,Maize,964.2,25.2,5.8,39.8,2023-05-15,2023-10-12,4.23,Loamy
Nashik,Moong,722.9,26.1,5.5,42.9,2023-10-24,2024-02-21,4.14,Sandy
Pune,Jowar,807.0,31.2,5.6,31.2,2023-07-27,2023-10-30,2.68,Sandy
Nashik,Wheat,965.8,26.4,6.5,64.8,2023-01-10,2023-06-03,4.49,Loamy
Ratnagiri,Moong,534.4,26.5,6.6,51.4,2023-01-18,2023-06-24,5.45,Loamy
Satara,Rice,1010.3,21.8,7.1,39.4,2023-07-06,2023-10-21,3.09,Laterite
Pune,Bajra,439.6,29.6,6.8,46.1,2023-09-21,2024-01-31,2.35,Sandy
Satara,Rice,1009.6,21.7,5.6,47.3,2023-04-07,2023-08-25,3.6,Clay
Pune,Jowar,515.0,21.7,6.6,64.9,2023-05-21,2023-09-14,4.92,Loamy
Latur,Jowar,533.7,28.0,5.8,36.3,2023-11-19,2024-04-13,3.31,Loamy
Nagpur,Moong,434.6,34.1,7.1,65.0,2023-09-06,2024-01-26,4.95,Loamy
Nagpur,Maize,1056.6,23.8,5.7,43.1,2023-02-21,2023-06-21,2.96,Loamy
Solapur,Bajra,771.8,24.9,5.6,64.7,2023-10-01,2024-01-06,5.25,Sandy
Pune,Moong,1057.8,28.9,7.2,69.8,2023-12-15,2024-04-21,5.03,Loamy
Aurangabad,Toor,902.3,29.3,7.4,66.7,2023-12-27,2024-06-01,2.04,Clay
Pune,Toor,773.4,32.8,6.7,48.0,2023-09-07,2024-02-11,5.03,Loamy
Nagpur,Wheat,580.0,33.7,6.4,34.3,2023-01-08,2023-05-03,5.28,Clay
Pune,Maize,707.6,34.3,6.8,47.9,2023-06-09,2023-09-18,3.36,Loamy
Latur,Toor,706.3,22.2,7.4,59.5,2023-07-06,2023-10-06,2.56,Loamy
Ratnagiri,Toor,919.5,20.1,6.9,50.0,2023-09-28,2024-01-29,2.72,Loamy
Pune,Jowar,1068.7,22.0,6.0,57.9,2023-07-07,2023-11-26,3.12,Loamy
Satara,Bajra,474.0,21.6,7.4,61.0,2023-08-16,2023-12-17,3.87,Loamy
Amravati,Bajra,987.6,34.6,7.4,46.5,2023-06-02,2023-08-31,2.28,Loamy
Kolhapur,Bajra,696.4,31.3,6.2,67.2,2023-06-06,2023-10-31,3.86,Loamy
Latur,Bajra,1063.1,24.3,6.0,44.5,2023-02-16,2023-06-18,3.46,Sandy
Nashik,Jowar,568.6,25.1,6.2,38.9,2023-02-24,2023-06-15,3.35,Loamy
Kolhapur,Maize,1040.7,24.8,5.8,69.5,2023-10-23,2024-03-24,4.51,Sandy
Nashik,Maize,984.2,21.3,6.2,54.0,2023-04-11,2023-07-22,4.44,Loamy
Satara,Wheat,905.8,25.7,6.0,51.0,2023-10-22,2024-02-02,2.96,Loamy
Pune,Rice,635.1,21.3,6.8,56.2,2023-06-18,2023-10-30,4.8,Laterite
Kolhapur,Toor,757.0,29.8,6.9,55.3,2023-10-21,2024-02-01,2.29,Clay
Kolhapur,Moong,971.9,21.3,7.0,64.2,2023-01-01,2023-04-19,3.47,Sandy
Pune,Toor,653.5,25.1,6.5,47.2,2023-10-27,2024-02-04,4.89,Clay
Solapur,Wheat,659.4,24.6,5.9,39.7,2023-10-01,2024-01-13,3.83,Clay
Satara,Jowar,567.8,20.2,7.2,42.6,2023-08-19,2023-12-15,2.58,Sandy
Latur,Wheat,726.8,25.5,6.3,44.5,2023-06-04,2023-10-13,4.88,Clay
Solapur,Moong,960.3,24.8,6.0,32.8,2023-04-27,2023-07-30,4.47,Sandy
Ratnagiri,Jowar,654.0,24.6,6.9,42.7,2023-10-07,2024-02-10,3.83,Loamy
Amravati,Moong,933.1,33.8,5.8,60.7,2023-02-22,2023-06-29,5.11,Sandy
Latur,Wheat,879.8,22.1,7.4,35.5,2023-10-14,2024-01-30,4.7,Loamy
Satara,Bajra,975.2,30.7,6.6,63.9,2023-09-02,2023-12-13,2.2,Sandy
Ratnagiri,Rice,1194.8,22.7,6.6,52.4,2023-04-10,2023-07-24,2.6,Clay
Ratnagiri,Wheat,601.3,34.3,6.9,41.1,2023-04-22,2023-09-20,4.72,Clay
Nashik,Wheat,1028.2,28.0,6.6,64.0,2023-01-09,2023-06-02,5.3,Loamy
Kolhapur,Toor,781.1,32.9,5.8,62.3,2023-05-08,2023-10-08,4.11,Loamy
Solapur,Moong,648.6,29.3,6.2,36.4,2023-01-18,2023-05-17,4.1,Loamy
Amravati,Moong,525.4,32.4,7.4,55.7,2023-04-23,2023-09-12,3.68,Loamy
Pune,Maize,568.4,29.8,6.3,68.2,2023-01-28,2023-06-05,2.29,Loamy
Nagpur,Rice,962.1,29.3,6.0,53.2,2023-12-06,2024-05-11,2.54,Laterite
Nagpur,Jowar,754.5,28.2,6.5,47.4,2023-02-11,2023-06-07,5.03,Loamy
Amravati,Wheat,531.9,28.3,6.9,50.1,2023-03-26,2023-08-26,4.0,Clay
Kolhapur,Maize,886.6,25.7,7.1,62.3,2023-01-20,2023-05-07,5.32,Loamy
Solapur,Toor,535.1,28.1,7.5,52.5,2023-04-11,2023-08-25,2.35,Loamy
Solapur,Toor,918.0,20.3,7.0,47.7,2023-01-27,2023-06-10,2.13,Clay
Kolhapur,Moong,675.9,26.6,6.7,53.5,2023-01-08,2023-05-20,5.38,Loamy
Aurangabad,Maize,819.3,28.6,7.2,63.0,2023-03-21,2023-07-17,3.37,Sandy
Amravati,Wheat,935.8,24.0,6.3,61.8,2023-09-13,2024-01-12,2.92,Clay
Nashik,Rice,1332.4,23.6,7.5,55.6,2023-01-01,2023-04-17,3.02,Laterite
Solapur,Toor,970.3,20.9,5.7,50.8,2023-08-07,2023-12-19,3.28,Clay
Satara,Rice,945.8,32.4,6.8,68.9,2023-05-28,2023-10-18,2.24,Clay
Kolhapur,Bajra,827.4,30.2,5.5,69.7,2023-08-17,2023-11-19,3.3,Loamy
Satara,Toor,1074.1,25.8,6.7,59.3,2023-05-28,2023-10-09,4.51,Clay
Nashik,Wheat,818.2,25.5,5.6,45.4,2023-02-04,2023-05-21,5.22,Loamy
Pune,Toor,540.5,34.3,6.1,42.0,2023-04-21,2023-09-11,4.69,Loamy
Nagpur,Toor,650.9,31.6,7.3,33.3,2023-11-09,2024-02-08,2.81,Clay
Latur,Bajra,715.2,25.5,5.8,58.1,2023-04-19,2023-07-20,2.17,Sandy
Pune,Rice,1371.2,27.9,5.9,32.0,2023-04-26,2023-08-26,4.76,Laterite
Nagpur,Bajra,1061.4,31.3,5.6,55.2,2023-12-05,2024-03-30,2.52,Loamy
Latur,Wheat,817.2,30.6,6.1,69.5,2023-11-27,2024-02-28,2.53,Clay
Aurangabad,Rice,795.7,29.8,6.5,32.0,2023-11-03,2024-04-03,4.18,Clay
Nashik,Maize,669.7,31.9,6.9,40.9,2023-11-17,2024-02-18,3.86,Loamy
Ratnagiri,Maize,709.0,32.7,5.9,64.3,2023-10-06,2024-02-09,2.32,Sandy
Latur,Toor,952.6,24.5,7.1,50.1,2023-04-24,2023-09-29,3.83,Loamy
Ratnagiri,Jowar,589.3,24.3,6.7,61.0,2023-04-28,2023-08-16,4.33,Sandy
Aurangabad,Moong,892.5,27.4,6.0,37.4,2023-11-04,2024-03-24,2.72,Loamy
Ratnagiri,Wheat,942.3,20.4,7.0,57.7,2023-04-02,2023-08-05,3.84,Loamy
Pune,Rice,660.9,30.3,5.8,69.6,2023-10-15,2024-03-05,2.83,Laterite
Kolhapur,Toor,529.6,28.8,6.1,69.1,2023-06-16,2023-11-19,4.57,Clay
Nagpur,Bajra,714.7,20.0,6.2,56.5,2023-09-12,2024-01-04,3.34,Loamy
Nashik,Toor,805.7,31.6,7.3,65.8,2023-02-16,2023-06-15,5.19,Clay
Nashik,Maize,1090.4,20.5,6.5,33.6,2023-01-10,2023-05-15,3.14,Sandy
Ratnagiri,Toor,989.0,20.1,5.7,62.8,2023-03-25,2023-07-23,2.11,Clay
Amravati,Rice,858.3,28.6,6.6,49.6,2023-08-15,2023-12-09,3.66,Laterite
Solapur,Rice,1171.7,20.3,6.4,56.0,2023-08-16,2023-12-05,4.62,Clay
Nashik,Moong,1069.1,27.5,7.2,60.3,2023-03-11,2023-07-23,3.38,Loamy
Amravati,Maize,970.5,25.4,6.7,56.7,2023-05-27,2023-10-17,2.04,Sandy
Nashik,Rice,733.5,20.7,6.6,34.9,2023-12-09,2024-04-03,4.63,Laterite
Satara,Wheat,680.7,23.9,7.5,66.8,2023-05-07,2023-09-28,2.18,Loamy
Nagpur,Rice,1131.9,29.5,5.8,41.1,2023-10-01,2024-01-12,3.17,Laterite
Pune,Maize,851.7,25.6,6.7,59.8,2023-12-17,2024-04-01,3.34,Sandy
Ratnagiri,Moong,530.3,22.6,6.9,50.8,2023-07-24,2023-11-19,3.05,Sandy
Pune,Moong,998.9,25.1,6.3,46.5,2023-08-04,2023-11-10,4.57,Loamy
Solapur,Toor,934.0,25.1,6.6,32.4,2023-01-21,2023-05-08,2.38,Clay
Satara,Jowar,849.0,31.8,6.6,32.7,2023-12-27,2024-05-18,4.24,Loamy
Nagpur,Jowar,1083.6,24.9,7.3,45.8,2023-03-16,2023-07-07,3.81,Loamy
Kolhapur,Rice,1269.1,23.1,6.4,63.5,2023-12-18,2024-05-20,4.48,Clay
Aurangabad,Jowar,1044.3,25.8,6.8,42.1,2023-07-07,2023-12-05,2.17,Sandy
Amravati,Wheat,890.6,22.3,6.3,61.4,2023-07-12,2023-12-09,5.38,Loamy
Latur,Toor,437.0,21.5,6.6,42.4,2023-12-05,2024-03-11,2.49,Clay
Nashik,Wheat,608.4,34.3,6.7,42.9,2023-07-10,2023-10-29,3.37,Loamy
Latur,Moong,805.5,20.8,6.8,64.7,2023-12-06,2024-03-08,3.94,Sandy
Satara,Moong,812.6,32.6,7.1,55.9,2023-09-02,2023-12-05,3.33,Sandy
Solapur,Toor,776.8,27.7,7.3,36.2,2023-12-15,2024-04-28,5.18,Clay
Satara,Wheat,415.5,34.1,7.0,68.5,2023-07-16,2023-10-31,5.15,Clay
Satara,Wheat,607.9,26.6,7.5,58.6,2023-08-18,2024-01-16,2.24,Clay
Latur,Rice,935.8,30.9,7.4,50.1,2023-09-22,2024-02-08,3.12,Laterite
Solapur,Wheat,999.9,34.9,7.3,63.0,2023-04-05,2023-07-11,5.38,Loamy
Ratnagiri,Maize,720.7,29.0,6.0,59.4,2023-02-23,2023-07-21,4.17,Sandy
Kolhapur,Rice,1278.1,34.3,6.8,69.5,2023-04-21,2023-08-13,4.42,Clay
Nashik,Jowar,993.0,21.0,6.7,42.0,2023-12-05,2024-04-16,3.42,Sandy
Amravati,Bajra,915.7,22.6,6.1,42.3,2023-01-27,2023-07-01,2.42,Sandy
Amravati,Wheat,859.8,32.0,7.5,64.4,2023-03-08,2023-07-09,3.68,Clay
Ratnagiri,Maize,580.2,24.3,7.1,66.4,2023-09-22,2023-12-27,2.49,Loamy
Solapur,Jowar,514.7,32.0,6.8,67.7,2023-12-09,2024-04-06,2.37,Loamy
Aurangabad,Rice,1075.8,35.0,5.9,41.1,2023-08-05,2023-11-09,2.86,Laterite
Amravati,Jowar,993.0,33.7,7.1,38.2,2023-05-01,2023-09-21,4.26,Loamy
Amravati,Rice,894.8,32.2,6.9,53.3,2023-01-15,2023-05-03,4.75,Clay
Amravati,Jowar,653.0,22.1,6.2,31.9,2023-08-13,2024-01-03,5.05,Loamy
Nagpur,Bajra,1040.4,26.1,6.9,65.8,2023-07-27,2023-12-01,4.59,Sandy
Solapur,Bajra,1070.7,34.7,7.0,65.3,2023-10-22,2024-02-29,3.72,Sandy
Nagpur,Toor,1032.6,31.4,7.1,55.0,2023-11-07,2024-03-26,2.57,Clay
Pune,Wheat,473.1,34.4,7.3,69.8,2023-01-21,2023-04-23,3.71,Loamy
Nashik,Jowar,467.2,30.3,7.2,36.5,2023-01-09,2023-05-02,2.25,Loamy
Satara,Wheat,569.8,29.0,7.3,62.9,2023-01-25,2023-04-30,3.91,Loamy
Latur,Toor,905.3,31.6,6.1,42.1,2023-11-06,2024-03-14,3.11,Loamy
Nagpur,Wheat,615.7,29.5,6.2,55.4,2023-05-20,2023-10-24,2.04,Clay
Nagpur,Toor,472.7,27.3,6.0,48.4,2023-07-21,2023-11-16,3.23,Loamy
Pune,Jowar,429.3,34.7,5.7,45.9,2023-01-04,2023-04-28,3.76,Sandy
Kolhapur,Toor,729.2,25.0,6.8,54.8,2023-05-13,2023-08-29,4.03,Clay
Nashik,Bajra,745.3,33.2,6.1,41.7,2023-12-20,2024-04-30,5.05,Sandy
Aurangabad,Maize,1077.1,30.6,5.7,35.5,2023-03-10,2023-07-20,5.11,Sandy
Satara,Toor,501.7,20.5,7.2,45.1,2023-06-21,2023-10-30,5.28,Loamy
Satara,Wheat,557.2,26.3,6.2,69.0,2023-07-25,2023-11-07,4.57,Loamy
Kolhapur,Moong,577.1,25.5,7.3,57.3,2023-04-12,2023-08-26,2.38,Loamy
Nagpur,Moong,696.6,28.1,6.0,49.6,2023-02-16,2023-07-15,4.76,Sandy
Nashik,Maize,929.3,20.9,6.9,58.8,2023-01-10,2023-05-05,4.56,Sandy
Ratnagiri,Wheat,613.2,31.1,5.9,56.7,2023-06-14,2023-11-06,4.49,Clay
Nagpur,Toor,663.6,20.6,6.6,67.7,2023-12-23,2024-04-09,3.49,Clay
Nashik,Toor,831.8,27.0,5.9,54.1,2023-09-11,2024-01-01,2.01,Loamy
Ratnagiri,Maize,902.3,30.4,6.2,54.8,2023-01-14,2023-06-23,4.65,Loamy
Nashik,Toor,887.4,28.0,5.8,36.8,2023-09-23,2024-02-08,3.81,Loamy
Kolhapur,Jowar,508.3,22.7,6.1,54.2,2023-01-16,2023-04-19,3.23,Loamy
Solapur,Toor,928.2,22.5,6.4,46.6,2023-12-26,2024-05-17,4.91,Clay
Solapur,Bajra,543.2,20.1,6.6,33.6,2023-10-05,2024-01-16,3.31,Loamy
Latur,Wheat,930.5,26.7,6.6,54.7,2023-07-04,2023-10-08,4.29,Clay
Kolhapur,Bajra,425.8,21.3,6.1,30.7,2023-05-16,2023-10-17,2.85,Sandy
Satara,Rice,686.1,25.7,6.6,43.6,2023-08-02,2023-11-18,4.77,Clay
Aurangabad,Moong,526.9,26.7,5.7,40.9,2023-04-11,2023-07-26,5.31,Loamy
Pune,Maize,1054.8,22.8,5.6,49.3,2023-02-08,2023-05-26,3.91,Loamy
Ratnagiri,Moong,646.2,25.9,6.1,50.1,2023-09-08,2024-01-17,2.19,Loamy
Amravati,Bajra,934.6,30.6,7.0,66.6,2023-08-28,2023-12-14,3.81,Sandy
Nashik,Rice,959.7,28.6,6.8,40.0,2023-08-13,2023-12-20,5.27,Laterite
Nagpur,Rice,1231.1,26.5,6.3,62.4,2023-05-20,2023-08-28,4.01,Clay
Pune,Maize,1080.3,34.3,7.0,64.5,2023-09-14,2024-01-27,4.81,Loamy
Ratnagiri,Toor,500.3,33.5,6.0,40.7,2023-07-08,2023-10-27,3.89,Loamy
Satara,Bajra,447.0,33.0,5.9,59.2,2023-01-28,2023-06-14,5.04,Sandy
Kolhapur,Maize,838.0,27.9,7.0,68.8,2023-03-27,2023-07-12,4.77,Loamy
